Großpackungen/Unverpackt - Kaffee - Süßigkeiten/Knabbereien;Nüsse;;
Großpackungen/Unverpackt - Kaffee - Kaffee- und Teezubehör;Ergänzungsprodukte;;
Tee - Schwarzer Tee - Sonstige;Tee;;
Süßes / Snacks - Tafelschokolade - fairafric/WeltPartner Bio-Schokoladen, Flachtafeln;Tafelschokolade;;
"Süßes / Snacks - Tafelschokolade - Zotter Bio-Schokoladen drunter & drüber/WeltPartner 
weitere Sorten auf Nachfrage";Tafelschokolade;;
Saisonartikel - Karneval/Jecke Fairsuchung;Karnevals-LM;;
Saisonartikel - Ostern;Oster-LM;;
Saisonartikel - Saison Artikel Weihnachten zum Sonderpreis;Weihnachts-LM;;
Saisonartikel - Süßwaren und Snacks;Süßwaren und Snacks;;
Saisonartikel - Snacks süß & herzhaft;Chips und Knabbereien;;
Saisonartikel - Snacks süß & herzhaft, Müsli;Müsli;;
Saisonartikel - Nüsse;Nüsse;;
Saisonartikel - Trockenfrüchte;Trockenfrüchte;;
Saisonartikel - Konserven;Soßen und Würzpasten;;
Saisonartikel - Kakao- und Schokogetränke/Instantgetränke;Kakao und Trinkschokolade;;
Saisonartikel - Zucker/Süßungsmittel;Zucker;;
Großpackungen/Unverpackt - Kaffee - Kokoblock;Haushalt und Garten;;
Süßes / Snacks - Tafelschokolade - Frucht-  und Nußriegel;Nuss- und Fruchtriegel;;
Nudeln - Italien - „mafiafrei“;Nudeln;;
Weißwein - Präsentkartons;Ergänzungsprodukte;;
Nudeln - Feinkost/Sonstiges;Feinkost;!!!;enthält auch Linsen, Bohnen, Kichererbesen
Nudeln - Essig und Öl, Senf und Saucen;Essig und Öl;!!!;enthält auch Senf und Würzsoßen
Nudeln - Kräuter und Gewürze;Gewürze und Kräuter;;
Nudeln - Kräuter und Gewürze in der Mühle/Nachfüller;Gewürze und Kräuter;;
"Süßes / Snacks - Tafelschokolade - Zotter Schokoladen 
weitere Sorten auf Nachfrage";Tafelschokolade;;
Spezialsortimente - Sonderedition „Von Herzen“;;;
Spezialsortimente - Sonderedition „Von Herzen“ - Confiserie;Confiserie;;
Spezialsortimente - Sonderedition „Von Herzen“ - Kaffee;Kaffee;;
Spezialsortimente - Sonderedition „Von Herzen“ - Espresso;Espresso;;
Spezialsortimente - Sonderedition „Von Herzen“ - Fruchtgummi;Fruchtgummi;;
Spezialsortimente - Sonderedition „Von Herzen“ - Infomaterial;Infomaterial;;
Conflictfood - Tee;Tee;;
Conflictfood - Grüner Tee;Grüner Tee;;
Conflictfood - Schwarzer Tee;Schwarzer Tee;;
Conflictfood - Kräuter- und Früchtetee;Kräuter- und Früchtetee;;
Conflictfood - Trockenfrüchte;Trockenfrüchte;;
Conflictfood - Getreide und Hülsenfrüchte;Getreide und Hülsenfrüchte;;
Conflictfood - Gewürze und Kräuter;Gewürze und Kräuter;;
Conflictfood - Infomaterial;Infomaterial;;
Saisonartikel - Weihnachten - Riegel;Schokoriegel;;
Saisonartikel - Weihnachten - Adventskalender;Weihnachts-LM;;
Saisonartikel - Weihnachten - Schoko-Nikoläuse, Hohlfiguren;Weihnachts-LM;;
Saisonartikel - Weihnachten - Spekulatius, Kekse, etc.;Weihnachts-LM;;
Saisonartikel - Weihnachten - Tafelschokolade;Weihnachts-LM;;
Saisonartikel - Weihnachten - Zucker/Süßungsmittel;Weihnachts-LM;;
Saisonartikel - Weihnachten - Pralinen, Konfiserie;Weihnachts-LM;;
Saisonartikel - Weihnachten - Trinkschokoladen;Weihnachts-LM;;
Saisonartikel - Weihnachten - Tee;Weihnachts-LM;;
Saisonartikel - Weihnachten - Kaffee;Weihnachts-LM;;
Saisonartikel - Weihnachten - Getränke;Getränke;;
Saisonartikel - Weihnachten - Gewürze;Weihnachts-LM;;
Saisonartikel - Weihnachten - Geschenk-Sets;KHW Weihnachten;;
Saisonartikel - Weihnachten - Karten;KHW Weihnachten;;
Saisonartikel - Weihnachten - Verkaufshilfen/Infomaterial;Infomaterial;;
Saisonartikel - Weihnachten - Snacks süß & herzhaft;Chips und Knabbereien;;
Saisonartikel - Weihnachten - Nüsse;Nüsse;;
Saisonartikel - Weihnachten - Trockenfrüchte;Trockenfrüchte;;
Saisonartikel - Weihnachten - Konserven;Feinkost;;
Saisonartikel - Weihnachten - Kakao- und Schokogetränke/Instantgetränke;Kakao und Trinkschokolade;;
