#Produktgruppe;Lieferant;Artikelnummer;Bezeichnung;Barcode;Herkunftsland;VPE;VK-Preis;EK-Preis;Variabel
Gewürze und Kräuter;dwp;rfb116035;Salatkräutermischung, kbA 30 g;;;5;2,2;;
Gewürze und Kräuter;dwp;rfb116017;Sesam, kbA, ungeschält 150 g;;;5;2,7;;
Gewürze und Kräuter;dwp;rfb116050;Sternanis, ganz, kbA 30 g;;;5;2,5;;
Gewürze und Kräuter;dwp;rfb116023;Thymian, gerebelt, kbA 20 g;;;5;1,7;;
Gewürze und Kräuter;dwp;rfb116032;Vanille Bourbon Schoten, kbA, 2 Schoten 2 Stk.;;;5;4,1;;
Gewürze und Kräuter;dwp;rfb116025;Wachholderbeeren, kbA 40 g;;;5;2,2;;
Gewürze und Kräuter;dwp;rpl216002;Za'atar, Gewürzmischung mit geröstetem Sesam und Thymian 65 g;;Palästina;6;3,5;;
Gewürze und Kräuter;dwp;rfb116014;Zimt, kbA, gemahlen 50 g;;;5;2,8;;
Gewürze und Kräuter;dwp;rfb116015;Zimtstangen, kbA 30 g;;;5;2,5;;
Gewürze und Kräuter;dwp;rfb116018;Zitronengras, kbA, geschnitten 20 g;;;5;1,6;;
Gewürze und Kräuter;dwp;rfb116053;Zitronenschale, gemahlen, kbA 50g;;;5;3,2;;
Gewürze und Kräuter;Salinas;Salz010;Salz, reines Natursalz, feinkörnig 500 g;;Deutschland;5;1,75;;
Gewürze und Kräuter;dwp;rpa018006;Vanillezucker mit 10% echter Vanille i. Beutel 125 g;;;5;5,4;;
Gewürze und Kräuter;EP;sl315600;Schwarze Pfefferkörner in der Mühle 50 g;;Sri Lanka;12;3,2;;
Gewürze und Kräuter;EP;sa115203;Bushman Kräutersalz 70 g;;Südafrika;6;3,95;;
Gewürze und Kräuter;EP;sa115413;Nachfüller Bushman Kräutersalz 70 g;;Südafrika;5;2,95;;
Gewürze und Kräuter;EP;sa115103;"""Karoo"" Chillisalz in der Mühle, 85 g  85 g";;Südafrika;6;3,95;;
Gewürze und Kräuter;EP;sa115403;"Nachfüller ""Karoo"" Chillisalz i. d. Mühle, 85 g  85 g";;Südafrika;5;2,45;;
Gewürze und Kräuter;EP;sa115104;Barbecue-Gewürzmischung i. d. Mühle, mittelscharf 50 g;;Südafrika;6;3,95;;
Gewürze und Kräuter;EP;sa115414;Nachfüller Barbecue-Gewürzmischung 50 g;;Südafrika;5;2,45;;
Gewürze und Kräuter;EP;sa115105;"""Cape Malay"" bunte Gewürzmisch. i. d. M. 45 g";;Südafrika;6;3,95;;
Gewürze und Kräuter;EP;sa115415;"Nachfüller ""Cape Malay"" Bunte Gewürzmisch. 45 g";;Südafrika;5;2,35;;
Gewürze und Kräuter;EP;sa115106;"""West Coast"" Zitronenpfeffer-Mix in d. Mühle, 60 g 60 g";;Südafrika;6;3,95;;
Gewürze und Kräuter;EP;sa115406;"Nachfüller ""West Coast"" Zitronenpfeffer-Mix 60 g";;Südafrika;5;2,45;;
Gewürze und Kräuter;EP;sa115109;"""Marrocan"" afrikan. Gerwürzzuber. i. d. M. 45 g";;Südafrika;6;3,95;;
Gewürze und Kräuter;EP;sa115419;"Nachfüller ""Marrocan"" Afrikan. Gerwürzzuber. 45 g";;Südafrika;5;2,25;;
Gewürze und Kräuter;EP;sa115107;"""Bushveld"", bunter Mix aus Tomaten, Oliven und Pfeffer in der Mühle, 50 g 50 g";;Südafrika;6;3,95;;
Gewürze und Kräuter;EP;sa115407;"Nachfüller ""Bushveld"" Bunter Mix         50 g";;Südafrika;5;2,35;;
Gewürze und Kräuter;EP;sa115108;"""Khoisan"" handgew. Meersalz i. d. Mühle 95 g";;Südafrika;6;3,95;;
Gewürze und Kräuter;EP;sa115408;"Nachfüller ""Khoisan"" Meersalz            95 g";;Südafrika;5;1,9;;
Gewürze und Kräuter;EP;sa115114;„Garden Route“ Kräutersalz mit Dill i. d. Mühle 50 g;;Südafrika;6;3,95;;
Gewürze und Kräuter;EP;sa115441;Nachfüller „Garden Route“ Kräutersalz mit Dill 50 g;;Südafrika;5;2,25;;
Gewürze und Kräuter;EP;sa115115;„Peri Peri“ Gewürzzubereitung i. d. Mühle 50 g;;Südafrika;6;3,95;;
Gewürze und Kräuter;EP;sa115451;Nachfüller „Peri Peri Gewürzzubereitung 50 g;;Südafrika;5;2,25;;
Gewürze und Kräuter;EP;sa115201;"""Cape Garden"",                                      Afrikanische Kräutermischung i. d. Mühle 40 g";;Südafrika;6;3,95;;
Gewürze und Kräuter;EP;sa115401;"Nachfüller ""Cape Garden"" Afrikan. Kräuterm. 40 g";;Südafrika;5;2,25;;
Gewürze und Kräuter;EP;sa115202;"""Harissa"" Gewürzmischung in der Mühle, 50 g 45 g";;Südafrika;6;3,95;;
Gewürze und Kräuter;EP;sa115412;"Nachfüller ""Harissa"" Gewürzmischung      50 g";;Südafrika;5;2,35;;
Gewürze und Kräuter;EP;sa115204;"""Rainbow"" Bunte Pfefferkörner  in der Mühle 50 g";;Südafrika;6;3,95;;
Gewürze und Kräuter;EP;sa115404;"Nachfüller ""Rainbow"" Bunter Pfeffer 50 g";;Südafrika;5;2,25;;
Gewürze und Kräuter;EP;sa115205;""" Zulu Chilli"" Feurig-scharfe Gewürzm. i. d. Mühle 40 g";;Südafrika;6;3,95;;
Gewürze und Kräuter;EP;sa115405;"Nachfüller ""Zulu Chilli"" Feurig-scharfe Gewürzmischung 40 g";;Südafrika;5;2,35;;
Gewürze und Kräuter;EP;sa115116;„Zanzibar“ Gewürzsalz mit Sesam 60 g;;Südafrika;6;3,95;;
Gewürze und Kräuter;EP;sa115416;Nachfüller „Zanzibar“ Gewürzsalz mit Sesam 60 g;;Südafrika;5;2,45;;
Gewürze und Kräuter;EP;sa115117;„Rosie's Salt“ Gewürzsalz mit Rosenblättern 50 g;;Südafrika;6;3,95;;
Gewürze und Kräuter;EP;sa115417;Nachfüller „Rosie's Salt“ Gewürzsalz mit Rosenblättern 50 g;;Südafrika;5;2,45;;
Gewürze und Kräuter;EP;sa115123;Hot Rocks Chilisalz, scharf 90 g;;Südafrika;6;3,95;;
Gewürze und Kräuter;EP;sa115423;Nachfüller Hot Rocks Chilisalz, scharf 90 g;;Südafrika;5;2,45;;
Gewürze und Kräuter;EP;sa115133;Hot Rocks Mild Chilisalz mild 90 g;;Südafrika;6;3,95;;
Gewürze und Kräuter;EP;sa115433;Nachfüller Hot Rocks Mild Chilisalz mild 90 g;;Südafrika;5;2,45;;
Gewürze und Kräuter;EP;sa110102;"""Turkish Coffee"", Zucker mit Kardamom und Kaffeebohnen i.d.Mühle 70 g";;Südafrika;6;3,95;;
Gewürze und Kräuter;EP;sa110412;"Nachfüller ""Turkish Coffee"", Zucker mit Kardamom und Kaffeebohnen 70g";;Südafrika;5;2,95;;
Gewürze und Kräuter;EP;sa110103;"""Tea Time"", Zucker mit Orangenschalen, Ingwer und Rosenblüten i.d.Mühle 65 g";;Südafrika;6;3,95;;
Gewürze und Kräuter;EP;sa110413;"Nachfüller ""Tea Time"", Zucker mit Orangenschalen, Ingwer und Rosenblüten 65g";;Südafrika;5;2,75;;
Gewürze und Kräuter;EP;sa110107;„Sweet Cinnamon & Chocolate“, Kandiszucker m. Schokolade u. Zimt in d. M. 85 g;;Südafrika;6;3,95;;
Gewürze und Kräuter;EP;sa110104;„Sweet Vanilla & Butterscotch“, Kandiszucker m. Butterkaramell in der Mühle 80 g;;Südafrika;6;3,95;;
Gewürze und Kräuter;EP;sa110105;„Sweet Vanilla“, Kandiszucker m. Vanilleschote in der Mühle 80 g;;Südafrika;6;3,95;;
